product_basket,section,family,SF_type,industry_group,running_perc,avg_lag,weighted_avg,sales,is_commodity
CAT,CATERING,APPLIANCES,CORP,Business,0.6666666666666666,210.76,43.21249492260265,14640.65999999997,0
CAT,CATERING,APPLIANCES,CORP,Leisure & Wellbeing,0.8333333333333334,145.0,51.12166931683023,439.45000000000005,0
CAT,CATERING,APPLIANCES,CORP,Production,0.797979797979798,80.48,67.76171611672989,7757.659999999998,0
CAT,CATERING,APPLIANCES,CORP,Trade,0.7289719626168224,59.37078651685393,59.70079318578743,11755.549999999996,0
CAT,CATERING,APPLIANCES,SMB,Business,0.8414634146341463,132.55263157894737,56.061607082970674,5247.860000000001,0
CAT,CATERING,APPLIANCES,SMB,Leisure & Wellbeing,0.875,105.15384615384616,61.588464232307935,3007.8199999999997,0
CAT,CATERING,APPLIANCES,SMB,Production,0.7560975609756098,89.78534031413612,69.32044579162901,26227.350000000057,0
CAT,CATERING,APPLIANCES,SMB,Trade,0.8287037037037037,101.24793388429752,59.151995640777564,19706.819999999996,0
CAT,CATERING,CATERING SUPPLIES,CORP,Business,0.31790499390986604,49.583139013452914,43.21249492260265,292230.1100000015,0
CAT,CATERING,CATERING SUPPLIES,CORP,Leisure & Wellbeing,0.3858695652173913,52.93404522613066,51.12166931683023,67932.48999999971,0
CAT,CATERING,CATERING SUPPLIES,CORP,Production,0.38480594549958713,75.01671799384074,67.76171611672989,246369.05999999947,0
CAT,CATERING,CATERING SUPPLIES,CORP,Trade,0.3734375,72.20615464858521,59.70079318578743,507014.029999998,0
CAT,CATERING,CATERING SUPPLIES,SMB,Business,0.38048151332760105,69.04998558108238,56.061607082970674,351105.0099999987,0
CAT,CATERING,CATERING SUPPLIES,SMB,Leisure & Wellbeing,0.41119221411192214,64.8271935699933,61.588464232307935,67789.28999999996,0
CAT,CATERING,CATERING SUPPLIES,SMB,Production,0.40894568690095845,83.37554151624549,69.32044579162901,382888.9199999978,0
CAT,CATERING,CATERING SUPPLIES,SMB,Trade,0.39328636552009943,73.67680725997731,59.151995640777564,324388.2899999957,0
CAT,CATERING,COLD DRINKS,CORP,Business,0.2080536912751678,32.910241044080436,43.21249492260265,365514.159999999,1
CAT,CATERING,COLD DRINKS,CORP,Leisure & Wellbeing,0.4090909090909091,42.33980582524272,51.12166931683023,32215.72999999998,1
CAT,CATERING,COLD DRINKS,CORP,Production,0.25411334552102377,43.50860982780345,67.76171611672989,228809.30999999784,1
CAT,CATERING,COLD DRINKS,CORP,Trade,0.21496437054631828,36.97023876881295,59.70079318578743,428501.62999999523,1
CAT,CATERING,COLD DRINKS,SMB,Business,0.22450248756218905,42.21259496452565,56.061607082970674,815381.7599999955,1
CAT,CATERING,COLD DRINKS,SMB,Leisure & Wellbeing,0.3875,34.86221590909091,61.588464232307935,27395.419999999984,1
CAT,CATERING,COLD DRINKS,SMB,Production,0.25704225352112675,46.675865294667915,69.32044579162901,556024.2099999936,1
CAT,CATERING,COLD DRINKS,SMB,Trade,0.22254127781765973,43.39979384479458,59.151995640777564,642460.800000004,1
CAT,CATERING,FOOD,CORP,Business,0.2972972972972973,50.771768523526234,43.21249492260265,86284.02999999997,0
CAT,CATERING,FOOD,CORP,Leisure & Wellbeing,0.2608695652173913,39.8359375,51.12166931683023,7598.989999999999,1
CAT,CATERING,FOOD,CORP,Production,0.3877551020408163,80.3778801843318,67.76171611672989,49311.63999999992,0
CAT,CATERING,FOOD,CORP,Trade,0.5053304904051172,73.39683631361761,59.70079318578743,78967.28999999931,0
CAT,CATERING,FOOD,SMB,Business,0.4106060606060606,69.06046343229544,56.061607082970674,158394.59999999977,0
CAT,CATERING,FOOD,SMB,Leisure & Wellbeing,0.42696629213483145,63.77884615384615,61.588464232307935,20546.650000000012,0
CAT,CATERING,FOOD,SMB,Production,0.4287169042769857,78.78801843317973,69.32044579162901,161919.77999999956,0
CAT,CATERING,FOOD,SMB,Trade,0.46464646464646464,76.9287598944591,59.151995640777564,126344.54999999997,0
CAT,CATERING,HOT DRINKS & SUPPLIES,CORP,Business,0.3727598566308244,44.31172413793104,43.21249492260265,64736.6699999999,0
CAT,CATERING,HOT DRINKS & SUPPLIES,CORP,Leisure & Wellbeing,0.3333333333333333,53.523809523809526,51.12166931683023,3963.0300000000016,0
CAT,CATERING,HOT DRINKS & SUPPLIES,CORP,Production,0.484,75.5954738330976,67.76171611672989,26132.20000000007,0
CAT,CATERING,HOT DRINKS & SUPPLIES,CORP,Trade,0.34375,71.32915057915058,59.70079318578743,34495.44,0
CAT,CATERING,HOT DRINKS & SUPPLIES,SMB,Business,0.4679300291545189,85.64300960512273,56.061607082970674,70046.80000000005,0
CAT,CATERING,HOT DRINKS & SUPPLIES,SMB,Leisure & Wellbeing,0.5072463768115942,85.13333333333334,61.588464232307935,7032.579999999995,0
CAT,CATERING,HOT DRINKS & SUPPLIES,SMB,Production,0.44039735099337746,67.7965526985024,69.32044579162901,136875.7400000004,1
CAT,CATERING,HOT DRINKS & SUPPLIES,SMB,Trade,0.3670886075949367,63.569424964936886,59.151995640777564,113762.88000000031,0
FUR,FURNITURE & MEETING ROOM,BOARDS & FLIPCHARTS,CORP,Business,0.5299610894941634,100.44344473007712,102.58580370061406,220333.50000000023,0
FUR,FURNITURE & MEETING ROOM,BOARDS & FLIPCHARTS,CORP,Leisure & Wellbeing,0.5550061804697157,118.23596358118361,126.01866371751264,125175.67000000036,0
FUR,FURNITURE & MEETING ROOM,BOARDS & FLIPCHARTS,CORP,Production,0.47828523395909217,112.57638434350046,117.22273183291499,876978.4699999968,1
