product_basket,section,family,SF_type,industry_group,SIC,running_perc,avg_lag,weighted_avg,sales,is_commodity
HYG,HYGIENE & CLEANING,DETERGENTS,SMB,Business,Financial And Insurance Activities,0.6119402985074627,114.92105263157895,82.70400458196748,17570.22999999999,0
HYG,HYGIENE & CLEANING,DETERGENTS,SMB,Business,"Professional, Scientific And Technical Activities",0.47029702970297027,102.21062073914604,78.40212768182522,105673.87999999998,0
HYG,HYGIENE & CLEANING,DETERGENTS,SMB,Business,Real Estate Activities,0.5104166666666666,120.28804347826087,95.78089211119918,17241.069999999967,0
HYG,HYGIENE & CLEANING,DETERGENTS,SMB,Business,"Water Supply, Sewerage, Waste Management And Remediation Activities",0.3860759493670886,87.23416506717851,77.61821853349059,20734.849999999977,0
HYG,HYGIENE & CLEANING,WASHROOM SUPPLIES & PERSONAL CARE,CORP,Business,Administrative And Support Service Activities,0.26873661670235544,75.9846286701209,96.17576023817008,351006.7900000004,1
HYG,HYGIENE & CLEANING,WASHROOM SUPPLIES & PERSONAL CARE,CORP,Business,"Electricity, Gas, Steam And Air Conditioning Supply",0.40816326530612246,64.49137931034483,70.57095307195367,29001.499999999996,1
HYG,HYGIENE & CLEANING,WASHROOM SUPPLIES & PERSONAL CARE,CORP,Business,Financial And Insurance Activities,0.2442622950819672,72.49055613850997,79.53765625514646,316674.94999999844,1
HYG,HYGIENE & CLEANING,WASHROOM SUPPLIES & PERSONAL CARE,CORP,Business,"Professional, Scientific And Technical Activities",0.4638447971781305,66.47600767754318,81.01797465890164,282255.8200000006,1
HYG,HYGIENE & CLEANING,WASHROOM SUPPLIES & PERSONAL CARE,CORP,Business,Real Estate Activities,0.5,66.03067484662577,35.35503202905741,39807.32000000002,0
HYG,HYGIENE & CLEANING,WASHROOM SUPPLIES & PERSONAL CARE,CORP,Business,"Water Supply, Sewerage, Waste Management And Remediation Activities",0.4772727272727273,67.53846153846153,89.24928266624168,37249.66000000002,1
HYG,HYGIENE & CLEANING,WASHROOM SUPPLIES & PERSONAL CARE,SMB,Business,Administrative And Support Service Activities,0.3606762680025047,68.9905525336387,81.52374549545932,593200.9600000043,1
HYG,HYGIENE & CLEANING,WASHROOM SUPPLIES & PERSONAL CARE,SMB,Business,"Electricity, Gas, Steam And Air Conditioning Supply",0.4298642533936652,69.73063170441002,81.17485494354979,71390.23000000019,1
HYG,HYGIENE & CLEANING,WASHROOM SUPPLIES & PERSONAL CARE,SMB,Business,Financial And Insurance Activities,0.3403693931398417,69.84507408370159,82.70400458196748,276697.5799999996,1
HYG,HYGIENE & CLEANING,WASHROOM SUPPLIES & PERSONAL CARE,SMB,Business,"Professional, Scientific And Technical Activities",0.3007885843034172,64.77487035822853,78.40212768182522,1081321.8600000045,1
HYG,HYGIENE & CLEANING,WASHROOM SUPPLIES & PERSONAL CARE,SMB,Business,Real Estate Activities,0.38316400580551524,82.56530475552579,95.78089211119918,195883.73999999964,1
